,description,snippet.requirement,snippet.responsibility
0,"

Шведский издатель и разработчик мобильных игр мирового уровня **G5
Entertainment AB** , входящий в ТОП 100 крупнейших издателей, ищет кандидата
на должность **Motion Designer / Video Designer** в свой центр разработки,
расположенный в Москве.

Компания **G5** , разместившая акции на NASDAQ Stockholm в 2014 году, является
одной из самых быстрорастущих технологических компаний Швеции по мнению
компании Deloitte. В игры компании играют **более 250 миллионов**
пользователей по всему миру. Офисы компании расположены в Стокгольме, Сан
Франциско, на Мальте, в Москве, Калининграде, Харькове и Львове.

**Требования:**

  * Более 2-х лет опыта работы видеодизайнером в игровой или смежных индустриях;
  * Наличие портфолио и готовность выполнить тестовое задание;
  * Профессиональное владение After Effects, Photoshop;
  * Базовые навыки 3D дженералиста в 3dsMax: моделирование, текстурирование, ригинг, анимация, шейдинг, лайтинг, рендеринг;
  * Чувство композиции, ритма, стиля, цвета;
  * Владение письменным английским языком для взаимодействия с коллегами;
  * Восприятие устной речи для работы над звуковой дорожкой;
  * Умение работать в команде и воспринимать критику;
  * Желание творчески подходить к задаче, проявлять инициативу;
  * Стремление развиваться и обеспечивать высокий уровень качества;
  * Умение работать в заданных сроках.

**Будет плюсом:**

  * Умение анимировать в 3D, 2D;
  * Опыт работы над VFX;
  * Навыки работы в одном из аудио-редакторов;
  * Опыт работы в Premiere Pro;
  * Художественное образование;

**Обязанности:**

  * Создание сценариев, режиссура и производство видео (промо-роликов наших игр, синематиков, аниматиков и пр.);
  * Подготовка материалов на основе игровых ассетов и их интеграция в видео;
  * Монтаж звука;
  * Работа в команде.

**Условия работы:**

  * Уютный и просторный офис;
  * Полный рабочий день, гибкий график работы;
  * Официальное оформление, полный соц.пакет;
  * Вознаграждение по результатам собеседования;
  * Дружный коллектив и демократичная атмосфера.

**Присылайте, пожалуйста, свое полное резюме с портфолио и ссылки на проекты
над которыми Вы работали и мы с Вами свяжемся.**

","Более 2-х лет опыта работы видеодизайнером в игровой или смежных индустриях.
Наличие портфолио и готовность выполнить тестовое задание.

","Создание сценариев, режиссура и производство видео (промо-роликов наших игр,
синематиков, аниматиков и пр.). Подготовка материалов на основе игровых
ассетов...

"
0,"

Привет! **Мы группа компаний - Fmedia** , специализирующихся на интернет-
маркетинге. У нас десятки собственных интернет-магазинов, личные торговые
марки и рекламное агентство, работающее в сфере Performance marketing и
Affiliate marketing. Нам доверяют топовые арбитражники и команды. Помимо
этого, мы разрабатываем собственные мобильные и товарные предложения по всему
миру.

За последний год мы выросли вдвое, так наши офисы в Санкт-Петербурге (HQ),
Москве и Колумбии насчитывают 350+ человек.

В связи с ростом компании, мы приглашаем в команду нашего рекламного агентства
Adsbalance **Motion Designer**. Будет здорово, если ты умеешь рисовать, и у
тебя хороший вкус! Мы не сомневаемся, что ты классный и все умеешь, но будем
рады увидеть твое портфолио. Это must have для того, чтобы пройти на следующий
этап.

**Обязанности:**

  * Создание 2d роликов и анимирование статики в соответствии со стилистикой бренда;
  * Продумывать и рисовать инфографики. Важно, чтобы ты мог(ла) самостоятельно решить, как изобразить понятия, абстрактные и не очень (например “аудитория”, “продажи”, “рост прибыли”) и взаимосвязи между ними;
  * Работать с коррекцией реального видео - базовая цветокоррекция, обрезать, добавить текст и спич баббл:)

**Требования:**

  * Чувство стиля и знание принципов композиции;
  * Работа с инфографикой;
  * Понимание типографики;
  * Владение программами After Effect, Photoshop, Illustrator.

Опыт разработки креативов для медиабаинга будет существенным плюсом.

**Fmedia в быту:**

**Мы уважаем наших сотрудников** , поэтому у нас нет бюрократии и
микроменеджмента в процессах;

**Мы заботимся о наших сотрудниках** , поэтому у нас есть все для комфортной
офисной жизни: просторная кухня с мягкими диванами, кикером и полный
холодильник еды, а также свой личный массажист!

**Мы доверяем своим сотрудникам** , и нам важно их мнение, вам придется
говорить о том, что для вас важно:);

**С нами легко и удобно не только работать** , но и просыпаться:) - так
рабочее утро с 10 до 12, рабочий день - 8 часов, включая обед. Мы находимся в
историческом центре Санкт-Петербурга на В.О. в БЦ «Сенатор» (класс А). Есть
возможность работать как в офисе, так и удаленно.

","Продумывать и рисовать инфографики. Важно, чтобы ты мог(ла) самостоятельно
решить, как изобразить понятия, абстрактные и не очень (например “аудитория...

","Создание 2d роликов и анимирование статики в соответствии со стилистикой
бренда. Работать с коррекцией реального видео - базовая цветокоррекция,
обрезать...

"
0,"

 **Borscht** \- это команда профессионалов мобильного маркетинга с многолетним
опытом в продвижении приложений по всему миру.  
В число наших клиентов входят такие компании, как Mail.ru , Yandex, Тинькофф,
Rovio, Supercell и многие другие. Для них мы делаем рекламные ролики, которые
используются в performance- и охватных кампаниях.

Мы ищем **motion-дизайнера** в проектную команду, которая создает ролики для
продукта из сферы GameDev.

**Ждем твой шоурил или портфель,** без них резюме рассматриваться не будут.

**Задачи, которые предстоит решать:**

  * Собирать ролики из материалов игры клиента в AE

  * Собирать, анимировать и снимать Unity сцены, работать с билдом игры и другими инструментами (мы научим, поможем, подскажем)

  * Креативить и искать возможность реализации самых разных идей

**Какие качества и навыки нужны:**

  * Опыт работы моушн-дизайнером от 2-х лет

  * Профессиональное владение After Effects

  * Наличие портфолио и готовность выполнить тестовое задание

  * Понимание принципов монтажа

  * Знание основ композиции и типографики

  * Опыт работы с персонажной анимацией

  * Умение творчески подходить к задаче, проявлять инициативу

  * Умение работать в заданных сроках

**Плюсом будет:**

  * Опыт работы моушн-дизайнером в gamedev или в рекламе (агентство/фриланс);

  * Базовые навыки 2,5D и 3D

  * Понимание простых игровых механик мобильных игр (геймеры, велком)

  * Базовое знание английского языка (изучали немецкий в школе? не страшно)

**Ты наш лучший кандидат, если:**

  * Готов к разным задачам: интересным и монотонным, в том числе

  * “Голоден” до опыта и новых знаний

  * Готов прокачиваться, брать челленджи и развиваться вместе с командой

**Что предлагаем:**

  * Наставника в виде скиллового сотрудника;

  * Разнообразные задачи и постоянно новые вызовы;

  * Крутой коллектив, поддержка команды и общие брейнштормы;

  * Мощное железо для работы;

  * Зарплату по результатам собеседования.

**Приходи к нам! Будет интересно!**

","Умение работать в заданных сроках. Опыт работы моушн-дизайнером в gamedev или
в рекламе (агентство/фриланс). Базовые навыки 2,5...

","Собирать ролики из материалов игры клиента в AE. Собирать, анимировать и
снимать Unity сцены, работать с билдом игры и другими...

"
0,"

 **SayGames** \- издатель мобильных игр. Это драйвовая команда, нацеленная на
результат и объединенная идеей сделать мир паблишинга лучше. Поэтому мы
глубоко погружаемся в каждый продукт, создаем и поддерживаем долгосрочные
отношения с командами разработчиков мирового уровня.

Сейчас в нашем портфолио **30+ игр жанра hyper casual и более 1 млрд**
установок на обеих платформах. Мы активно растем и развиваемся, поэтому в
данный момент в поисках **Video Production Specialist / Motion designer** в
нашу дружную команду.

**Вас ожидает:**

  * Процесс создания рекламного видеоролика: от съемки до пост-продакшна видеоматериалов;

  * Анализ визуальной составляющей рынка мобильной рекламы;

  * Активное участие в обсуждении концепций;

  * Анализ эффективности рекламы, оптимизация графических и видеоматериалов.

**Требования:**

  * Опыт фото / видеосъемки, а также редактирования фото / видео;

  * Хорошее знание композиции и анимации, монтажа;

  * Опыт работы с продуктами Adobe (After Effects, Premiere Pro, Photoshop);

  * Опыт работы с плагинами After Effects (желательно Trapcode, Element 3D и т.д.);

  * Вы следите за трендами в сфере рекламы и мобильного маркетинга;

  * Вы обладаете нестандартным, креативным мышлением;

  * Наличие портфолио с примерами работ.

**Будет большим плюсом:**

  * Опыт работы в GameDev;

  * Опыт работы с аудиоредакторами (Adobe Audition, Ableton Live, Logic Pro);

  * Высшее образование (желательно – в сфере дизайна, режиссуры);

  * Обширный игровой опыт в мобильных казуальных играх.

**Мы предлагаем:**

  * Работу над интереснейшими продуктами с отличной командой профессионалов;

  * Высокий уровень дохода;

  * Комфортные условия работы и отдыха – гибкий график, офис в центре города, современное оборудование и т.п;

  * Компенсацию спорта;

  * Организованные обеды в офисе;

  * Также мы активно поддерживаем профессиональное развитие наших сотрудников и предлагаем возможность посещения образовательных курсов, различных конференций и митапов (в том числе за пределами РБ), а курсы английского языка проходят прямо в офисе.

","Опыт работы с аудиоредакторами (Adobe Audition, Ableton Live, Logic Pro).
Высшее образование (желательно – в сфере дизайна, режиссуры). Обширный игровой
опыт...

","Процесс создания рекламного видеоролика: от съемки до пост-продакшна
видеоматериалов. Анализ визуальной составляющей рынка мобильной рекламы.
Активное участие в обсуждении...

"
0,"

 **Who we are:**

Kawalee is an established player in the field of online digital marketing

Our primary business focus is user acquisition, which is at the forefront of
our business model. We have established a dedicated section whose aim is to
improve customer acquisition for prospective clients. We create partnerships
with high-end international customers to which we provide a wide scope of
services.

We are currently looking for a **motion design team lead** who will help us
manage one of the most important departments of the company.

**Responsibilities:**

  1. A creative person with your feet on the ground and orientation to business.
  2. An experienced motion designer/video editor who comes from an online marketing background. You will be working mainly with technical tasks for motions designers, but technical experience with video editors is required.
  3. You should have experience with structured working processes and a solid understanding of how to deliver the final output to the client.
  4. You have a professional approach to time, costs and deadlines.
  5. You have advanced written and spoken English level

**What you will be doing:**

  1. Create complex technical tasks for motions designers according to the company objectives. It includes picking stock videos, footage, music, fonts, video templates, animations, etc.
  2. Manage the workflow of your team
  3. Provide leadership, mentoring and support to your team to ensure their skills remain up to date
  4. Quality control of the videos creative output

**What we offer to our employees:**

  1. Laptop or PC, software and other tools that will make your working process seamless
  2. Professional assistance, mentoring and teaching
  3. Paid vacations/ holidays
  4. Creative environment

**Please note that you should be ready to complete and submit a test task.**

","Kawalee is an established player in the field of online digital marketing. You
should have experience with structured working processes...

","Create complex technical tasks for motions designers according to the company
objectives. It includes picking stock videos, footage, music, fonts...

"
0,"

 **Evidence Team - это новый обучающий проект. Мы создаем качественный контент
в сфере медицины и помогаем медицинскому персоналу развиваться без отрыва от
практики.**

Для того, чтобы превратить сухие, но важные научные исследования в легкий для
восприятия контент, нам нужен еще один дизайнер в команду!

**Обязанности:**

  * Создание анимации для обучающих роликов — графика 2 D,3 D, инфографика, титры, пэкшоты, элементы интерфейсов, упаковка к видео

  * Отрисовка изображений в иллюстраторе

  * Работа как по брифу, так и генерация собственных идей

**Требования:**

  * Свободное владение программами: After Effects, Photoshop, Illustrator

  * Умение рисовать от руки

  * Наличие портфолио

  * Чувство композиции, ритма, стиля, цвета

  * Ответственность

  * Умение укладываться в дедлайны

  * Внимание к деталям‚ инициативность‚ активность‚ ориентированность на результат.

**Условия:**

  * Удаленная работа, 5\2, full-time

  * Оформление по ТК, соцпакет, “белая” з\п

  * Перспективы профессионального и личностного роста

  * Размер зп 35 000 руб. оклад + 10 000 руб. kpi - ""на руки""

Пожалуйста, присылайте ссылку на портфолио в сопроводительном письме. Без
портфолио кандидаты не рассматриваются.

**Просьба к агентствам: не беспокоить, нужен исключительно внутренний
сотрудник.**

","Свободное владение программами: After Effects, Photoshop, Illustrator. Умение
рисовать от руки. Наличие портфолио. Чувство композиции, ритма, стиля, цвета.
Ответственность.

","Создание анимации для обучающих роликов — графика 2 D,3 D, инфографика, титры,
пэкшоты, элементы интерфейсов, упаковка к видео.

"
0,"

Мы - **** международная продуктовая IT- компания **,** специализирующаяся на
создании развлекательных онлайн-проектов. Успешная практика разработки
высоконагруженных платформ позволяет нам реализовывать современные продуктовые
решения.  
Мы любим наших сотрудников и клиентов, ценим профессионализм, качество,
безопасность и комфорт. Мы постоянно совершенствуемся, фокусируясь на создании
максимально позитивного пользовательского опыта.

**Какие задачи необходимо будет решать:**

  * web-дизайн, дизайн десктоп и мобильных версий, и приложений;
  * дизайн интерфейсов;
  * продумывание и создание прототипов;
  * landing page/посадочных страниц/дизайн промо-сайтов;
  * разработка и доработка макетов;
  * проведение юзабилити исследований;
  * знание и практика в UI/UX;
  * подбор фото и графических материалов;
  * создание баннеров;
  * дизайн Email рассылок.

**Вы нам подходите, если у вас есть:**

  * владение современными трендами в web-дизайне;
  * уверенные знания графических пакетов (в инструментах создания мы не ограничиваем, но будем рады, если вы профи в работе со Sketch и пакетом программ Adobe, как минимум Adobe Photoshop‚ Illustrator‚ и т.д,);
  * понимание и умение создавать анимацию (будем рады, если вы владеете: Motion Design и HTML5 анимацией‚ программами Adobe After Effects и EDGE Animate);
  * умение создавать иконки, иллюстрации и баннеры;
  * базовое понимание HTML‚ CSS;
  * опыт проектирования, разработки и визуализации пользовательских интерфейсов;
  * понимание специфики работы браузеров на iOS и Android;
  * понимание принципов юзабилити и логики связей между элементами интерфейса.

**Будет весомым плюсом:**

  * рисование от руки, иллюстрирование.  
  
 **Мы вам можем предложить:**

  * работу в современном новом офисе (находимся на пер. Козлова, 25);
  * курсы английского языка от языковой школы Streamline прямо в офисе;
  * бесплатную парковку рядом с офисом;
  * график работы: 5/2 Пн – Пт с 10:00 до 19:00;
  * 3 sick days;
  * оформление по законодательству Республики Беларусь;
  * орехи и свежие фрукты на кухне;
  * достойную заработную плату (2 раза в месяц).

","Понимание и умение создавать анимацию (будем рады, если вы владеете: Motion
Design и HTML5 анимацией‚ программами Adobe After Effects...

","Web-дизайн, дизайн десктоп и мобильных версий, и приложений. Дизайн
интерфейсов. Продумывание и создание прототипов. Landing page/посадочных
страниц/дизайн...

"
0,"

 **BP Mobile -** команда профессионалов, которая на протяжении многих лет
создает ТОПовые продукты для мобильных платформ. Результат нашей работы - это
приложения с сотнями миллионов пользователей по всему миру.

За годы работы мы накопили высокую экспертизу в мобильной разработке и
маркетинге, собрали большое портфолио успешных продуктов, выстроили
качественные процессы в командах. Все это позволяет нам непрерывно искать
новые точки роста, проводить множество экспериментов, уделять большое внимание
качеству продуктов и удовлетворенности пользователей, быть устойчивыми даже в
периоды изменений на рынке.

Значительную роль в нашем успехе играет грамотный маркетинг. Мы уже собрали
сильную команду профессионалов, которую хотим дополнить еще одним **Motion-
дизайнером.**

**В работе вам предстоит:**

  * Создание видео-рекламы мобильных приложений и игр для Facebook, Instagram, рекламных сетей;

  * Написание концепций и сценариев;

  * Подготовка и анимация фото-видео материалов;

  * Монтаж, кеинг, треккинг, цветокоррекция.

**Наши ожидания от кандидата:**

  * Опыт работы в сфере Motion-design от 1 года;

  * Чувство ритма и тайминга в анимации;

  * Опыт работы с приложениями, понимание iOS гайдлайнов;

  * Понимание композиции и принципов дизайна;

  * Опыт работы с продуктами Adobe (After Effects, Photoshop, Illustrator);

  * Опыт работы с плагинами (Element 3d, Trapcode, OpticalFlares и т.д.);

  * Уровень английского от Pre-Intermediate и выше;

  * Наличие портфолио обязательно.

**Работа с нами - это:**

  * Собственные и разнообразные продукты;

  * Отсутствие излишней бюрократии и высокая степень свободы принятия решений;

  * Команда замечательных людей и сильных профессионалов в одном флаконе;

  * Возможность напрямую участвовать в развитии продукта;

  * Офисы в центре города, рядом с метро;

  * Медицинская страховка (включая стоматологию);

  * Курсы английского языка на базе офиса;

  * Программы компенсации спорта, 5 sick-days и другие бонусы.

","Опыт работы в сфере Motion-design от 1 года. Чувство ритма и тайминга в
анимации. Опыт работы с приложениями, понимание...

","Создание видео-рекламы мобильных приложений и игр для Facebook, Instagram,
рекламных сетей. Написание концепций и сценариев. Подготовка и анимация
фото...

"
0,"

Если вы имеете опыт работы с анимацией и моушен-дизайном, мы готовы предложить
следующие задачи:

Обязанности:

Создание анимационных и рекламных роликов создание контента для вебинаров,
видеороликов на YouTube

Требования:

Мидл-опыт работы обязателен

Внимание к деталям

Чувство стиля, художественный вкус

Знание трендов в дизайне

Художественное образование будет плюсом, но не обязательно

Заработная плата состоит из оклада, за обязательные задачи в месяц +
дополнительные мелочи;

График работы зависит от выполнения задач. В приложении к письму приложите
пожалуйста портфолио.

","Мидл-опыт работы обязателен. Внимание к деталям. Чувство стиля, художественный
вкус. Знание трендов в дизайне. Художественное образование будет плюсом, но...

","Создание анимационных и рекламных роликов создание контента для вебинаров,
видеороликов на YouTube.

"
0,"

 **ZODIAC Интерьер &Керамика** \- **_генеральный дистрибьютор элитной керамики
и сантехники испанского концерна PORCELANOSA Grupo в России ищет motion-
дизайнера_**

**Если ты с креативным мышлением и умелыми руками, с легкостью выполнишь:**

  * монтаж коротких (15-30 сек) роликов для соц. сетей

  * Сторис\лента

  * Анимация текста

  * Добавление субтитров в видео

**Требования:**

  * Adobe after effects и Premiere
  * Оперативность, ответственность, стремление к перфекционизму

**Условия:**

  * Работай удаленно и получай оплату за выполненный проект, размер оплаты обсуждаем исходя из скиллов.

**Кидай резюме и примеры работ!**

","Adobe after effects и Premiere. Оперативность, ответственность, стремление к
перфекционизму.

","Монтаж коротких (15-30 сек) роликов для соц. сетей. Сторис\лента. Анимация
текста. Добавление субтитров в видео.

"
0,"

 **We invite those who fired up to:**

  * Produce motion graphic designs for different types of videos and product demonstrations for different platforms;
  * Continuously discover and implement new editing technologies and industry best practices to maximize efficiency;
  * Review scripts/storyboards and provide feedback to creative and production teams;
  * Produce experiences with 2D and 3D animation using new and existing footage;
  * Collaborate with creative teams and producers to elevate the production of motion elements;
  * Know entire video production life cycle Implement audio elements (music, sound effects, etc.) to enhance the output of video content;
  * Stay up to date on new design trends and techniques;
  * Take personal accountability for on-time deliverables.

**Essential professional experience:**

  * Must possess a strong working and technical knowledge of After Effects, Photoshop, Illustrator;
  * Strong understanding of design fundamentals, typography, and visual aesthetics 2 – 3 years of professional experience;
  * Must be able to multi-task and effectively manage time, transition quickly between projects, work well under pressure, and meet deadlines;
  * Strong work ethic with good communication skills – comfortable working in a dynamic team environment;
  * Ability to communicate a vision to a team and create based on someone else’s ideas.

**We care of your:**

**Health**

  * Medical insurance/Sport compensation;
  * Sport club participation (football, running, basketball or swimming clubs);
  * 100% paid sick leaves;
  * 20 working days of paid vacation.

**Wealth**

  * Competitive salary and сonstant encouragement for your efforts and contribution;
  * Bonuses according to company’s policy;
  * Welfare (financial support in critical situations);
  * Gifts for significant life events (marriage, childbirth).

**Personal and professional growth**

  * Individual annual training budget with an opportunity to visit paid conferences, training sessions, workshops, etc.;
  * Free corporate library;
  * Opportunity to visit our non-stop internal meetups: open talks, IT Pump, etc. as a participant or a speaker and exchange knowledge;
  * A world-class team of T-shaped skilled professionals that share knowledge and support each other.

**Leisure time**

  * Corporate parties and events (Pub Quiz, Carquest, bowling championships, etc.);
  * PM Foundation activities (social responsibility events);
  * Weekly events aimed at culture, arts, soft skills development.

","Must possess a strong working and technical knowledge of After Effects,
Photoshop, Illustrator. Strong understanding of design fundamentals,
typography, and...

","Produce motion graphic designs for different types of videos and product
demonstrations for different platforms. Continuously discover and implement
new...

"
0,"

Компания Wargaming Saint Petersburg (Lesta Studio) приглашает Motion Designer/
Моушен Дизайнера на мобильные проекты нашей Компании.

**Содержание работы:**

  * производство видеоконтента: графическое оформление роликов, инфографика (2D, 3D), анимация, визуализация, создание шапок, заставок и титров различной сложности
  * Подготовка графики для анимации

**Требования:**

  * Опыт работы с игровыми движками
  * Навыки монтажа и создания эффектов в Adobe After Effects или Adobe Premiere Pro
  * Знание Adobe Photoshop
  * Наличие портфолио
  * Представление о видео дизайне, и основных мировых тенденциях в этом направлении

**Будет плюсом:**

  * Понимание работы движка Unity
  * Опыт 3D и 2D-анимации
  * Опыт анимации игровых спецэффектов, в том числе на основе партиклов
  * Опыт анимации элементов локаций и интерфейса
  * Интерес к играм, рекламе

**И немного о нас:**

  * **Искренне любим то, что мы делаем.** Мы решаем разные задачи: от простых и ординарных до нетривиальных и экстрасложных, создавая тем самым уникальные проекты, в которые играют 200+ млн. человек почти на всех континентах.
  * **Ценим дружескую атмосферу в команде.** Численность нашей команды превышает 600 человек, но несмотря на масштаб, в рабочем процессе мы стараемся сохранить открытые, неформальные коммуникации и ламповую атмосферу геймдева.
  * **Соблюдаем** **work** **-** **life** **balance** **.** Мы уважаем личное время наших коллег именно поэтому рабочий день в компании начинается в 09:30 и заканчивается в 18:30, что дает возможность на буднях переключаться с рабочих задач и больше отдыхать.
  * **Непрерывно развиваем и усиливаем нашу команду**. В компании регулярно проводятся обучающие семинары, тренинги, мы отправляем сотрудников на профессиональные конференции и организовываем курсы английского языка в студии. Ну и конечно у нас есть корпоративная библиотека и внутренняя база знаний, где собрана информация по разным направлениям.
  * **Комфортно работам и отдыхаем**. Наш офис находится в современном бизнес-центре недалеко от ст.м. Ладожская. Рабочее пространство представляет собой десятки переговорных комнат и просторные оупен спейсы с местами для сотрудников, оснащенными высокотехнологичным оборудованием. Для отдыха в нашей студии предусмотрены большие лаунж-зоны с массажными креслами и продвинутыми кофе-машинами с большим выбором напитков, а также игровые приставки, настольный теннис, хоккей, кикер, разнообразные настольные игры и д.р.
  * **Поддерживаем здоровый образ жизни**. Мы предоставляем нашим сотрудникам расширенный полис ДМС, включающий обслуживание в лучших мед.учреждениях Санкт-Петербурга. Наши коллеги могут приобретать льготные абонементы в сеть фитнес-клубов, а также бесплатно заниматься в офисном спортивном зале, оборудованным необходимыми тренажерами и удобствами. На каждом этаже нашего офиса есть кухня, где всегда можно найти фрукты и нарезанную морковку по утрам. А для тех, кто приходит рано утром или задерживается на работе, предусмотрены бесплатные корпоративные завтраки и ужины.

","Знание Adobe Photoshop. Наличие портфолио. Представление о видео дизайне, и
основных мировых тенденциях в этом направлении. Понимание работы движка Unity.

","Производство видеоконтента: графическое оформление роликов, инфографика (2D,
3D), анимация, визуализация, создание шапок, заставок и титров различной
сложности.

"
0,"

**BGSOFT находится в поиске Motion Designer для создания промовидео и анимации
топовых мобильных приложений в тесной коллаборации с командой маркетинга,
SMM.**

**В Motion design команде вас ждет:**

  * разработка и производство видео для команды маркетинга и SMM;
  * создание креативов для соцсетей;
  * анимирование интерфейсов;
  * создание контента для мобильных приложений «от идеи до внедрения»;
  * анализ рынка мобильной рекламы.

**Что важно для нас:**

  * опыт создания рекламных и презентационных роликов;
  * знание композиции, типографики, основ анимации и монтажа;
  * владение инструментами After Effects, Premiere Pro, Adobe Photoshop/Illustrator;
  * опыт работы с 3D (предпочтительно Cinema 4D).

**Здорово, если вы:**

  * имеете опыт фото и видеосъемки;
  * создавали визуальные эффекты для игр или рекламы;
  * знаете основы и принципы создания шейдеров.

**Вашим преимуществом будет:**

  * способность адекватно оценивать сроки и придерживаться их;
  * желание постоянно развиваться в моушен дизайне и высокий интерес к трендам индустрии;
  * открытость новому опыту и позитивному общению в команде.

**А мы готовы предложить вам:**

  * работу только с собственными продуктами;
  * самая современная техника на выбор (Apple или PC);
  * бесплатные занятия английским языком в офисе компании;
  * медицинскую страховку и финансовую поддержку в случае значимых событий;
  * конкурентный уровень зарплаты, привязанной к USD, и оформление по ТК РБ; 
  * адекватное руководство и постановка задач;
  * работа в команде моушен дизайнеров, где все на 100% вовлечены в создание продукта и могут влиять на его результат;
  * отличную атмосферу в команде, регулярные корпоративы несколько раз в год.

","Способность адекватно оценивать сроки и придерживаться их. Желание постоянно
развиваться в моушен дизайне и высокий интерес к трендам индустрии.

","Разработка и производство видео для команды маркетинга и SMM. Создание
креативов для соцсетей. Анимирование интерфейсов. Создание контента для
мобильных приложений...

"
0,"

 **Go Mobile — быстро растущее digital-агентство. Занимаемся онлайн-рекламой
во всех каналах. Есть внутренняя разработка и собственные рекламные
технологии. Наш второй офис находится в Индонезии.**

Мы ищем амбициозного сотрудника на должность **удаленного motion-дизайнера.**  
Если ты не представляешь свою жизнь без креатива и пакета Adobe, готов много и
качественно делать motion-видео -- тебе к нам!

**Обязанности:**

  * Создание анимированных роликов до 30 секунд;
  * Создание анимированных роликов по референсам;
  * Адаптирование анимированных роликов под разные площадки;
  * Работа с брендбуком;
  * Участие в брейнштормах и взаимодействие с командой.

**Требования:**

  * Самоорганизация;
  * Работа в редакторах Adobe AfterEffects, Premier, Cinema4D;
  * Знание дополнительных плагинов и программ для работы с анимацией;
  * Работа со звуком;
  * Опыт работы в сегменте Gaming, примеры работ в портфолио.

**Мы предлагаем:**

  * Работу с крупными клиентами из разных сегментов бизнеса;
  * График работы с 11 до 20 часов;
  * Стабильную зарплату, которую обсудим лично с успешным кандидатом.

","Самоорганизация. Работа в редакторах Adobe AfterEffects, Premier, Cinema4D.
Знание дополнительных плагинов и программ для работы с анимацией.

","Создание анимированных роликов до 30 секунд. Создание анимированных роликов по
референсам. Адаптирование анимированных роликов под разные площадки. Работа с
брендбуком.

"
